,level_0,Unnamed: 0,index,Area,Diameter (um),Volume (um3),FITC,TRITC,Alexa,FITC_b,TRITC_b,Alexa_b,Name,Source,Exp,Ratio,Ratio2
0,288,0,0,7.107,3.008141194231548,14.252572978269075,7.831236859889231,9.536752551297155,3080.541605277668,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.45090060078256855,0.04909939921743145
2,290,2,2,4.635,2.429293166714853,7.506515885148893,1197.0392368598893,398.6357525512971,1117.6426052776685,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.7501773511544503,0.2501773511544503
4,292,4,4,4.388,2.363678303470651,6.914546930419479,1923.8162368598894,27.79975255129716,60.80860527766836,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.9857555212182472,0.48575552121824717
5,293,5,6,18.169,4.809728608590424,58.25863939298629,60.050236859889225,7.938752551297142,3257.603605277668,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.8832347322698848,0.3832347322698848
7,295,7,10,9.579,3.4923289648912124,22.302012769795287,175.6472368598892,198.18575255129713,3043.931605277668,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.46985483313429927,0.030145166865700734
8,296,8,12,1.051,1.1567950386808616,0.8105277237690571,7.904236859889238,2.063752551297142,2378.320605277668,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.7929620040545853,0.2929620040545853
9,297,9,15,2.534,1.796215189324181,3.0344061931649824,47.46823685988923,3.4517525512971474,2920.300605277668,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.9322122295936918,0.43221222959369177
10,298,10,17,16.871,4.634741023965301,52.12847721021238,69.91323685988922,72.83875255129715,3365.579605277668,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.48975315264090225,0.010246847359097755
11,299,11,19,20.702,5.134063211054899,70.85691773017236,23.09523685988924,27.31775255129716,3432.065605277668,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.4581207567660036,0.04187924323399639
13,301,13,21,17.365,4.702106410357607,54.43471854390656,23.254236859889232,306.45475255129713,3371.405605277668,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.0705295809538527,0.4294704190461473
14,302,14,22,13.657,4.16996792103346,37.96616793170264,48.21623685988922,1.561752551297161,3250.0626052776684,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.9686256401720759,0.46862564017207586
15,303,15,23,12.236,3.9470696813432937,32.197563080611026,0.9472368598892444,7.692752551297161,3165.4396052776683,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.10963403018328167,0.39036596981671834
16,304,16,24,28.86,6.0618226022423976,116.62946686714372,16.415236859889234,321.90575255129716,3409.8326052776683,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.048519711675170676,0.45148028832482934
17,305,17,25,2.287,1.7064286796726422,2.6017349269408885,16.57323685988922,89.77275255129715,2185.7706052776684,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.155842612886969,0.344157387113031
18,306,18,26,27.562,5.923936894666465,108.85036579386473,112.02323685988924,8.018752551297155,3476.4046052776685,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.9332004360255137,0.4332004360255137
19,307,19,28,6.18,2.805106127486678,11.557037245245114,451.31223685988925,1596.9257525512971,359.17260527766837,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.22034169817816407,0.27965830182183593
21,309,21,31,2.287,1.7064286796726422,2.6017349269408885,1479.0872368598893,288.39475255129713,86.55360527766837,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.8368329893718622,0.33683298937186223
23,311,23,34,8.714,3.330917199934908,19.35040832015519,102.29323685988922,6.808752551297147,3116.847605277668,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.9375927736236216,0.4375927736236216
24,312,24,35,2.534,1.796215189324181,3.0344061931649824,40.22423685988923,69.98775255129715,2556.3976052776684,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.36497151602824185,0.13502848397175815
25,313,25,36,9.826,3.537068244544867,23.17015504726524,0.6372368598892422,66.29975255129716,3273.0956052776683,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.009519951009071647,0.49048004899092834
28,316,28,42,32.32,6.414912476865172,138.2199808348549,15.507236859889218,2.462752551297143,3446.4126052776683,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.8629519197287855,0.3629519197287855
29,317,29,44,6.86,2.9554057719513267,13.516055730390734,75.96023685988922,60.89875255129715,2822.2656052776683,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.5550255572300792,0.05502555723007918
31,319,31,46,1.112,1.1898917487509109,0.8821064164073417,1133.3812368598892,206.80875255129718,418.86960527766837,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.845686989019998,0.34568698901999795
32,320,32,47,4.944,2.508963194064561,8.269542687636791,11.629236859889232,2.438752551297142,2799.864605277668,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.8266452667814825,0.32664526678148254
34,322,34,49,1.298,1.2855601615895855,1.1124380598288546,272.4442368598892,22.094752551297148,2018.2506052776682,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.9249853046774323,0.42498530467743234
35,323,35,50,12.36,3.967019129387532,32.68823762615326,76.97723685988925,104.26075255129714,3172.4626052776684,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.4247301413460618,0.0752698586539382
39,327,39,57,26.759,5.8370041097782535,104.12826198237084,25.737236859889236,4.588752551297148,3469.9576052776683,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.8486858090900576,0.34868580909005764
40,328,40,59,41.59,7.276952154957144,201.7656267497784,20.219236859889236,5.27375255129715,3509.4266052776684,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.7931293005212243,0.2931293005212243
41,329,41,61,16.871,4.634741023965301,52.12847721021238,34.038236859889224,614.9447525512971,3139.576605277668,151.50776314011077,151.52424744870285,185.79739472233163,R2_5h_#2,2_5_2_0009.csv,1,0.05244858095706278,0.4475514190429372
43,331,43,2,17.612,4.735429744160046,55.60025910276448,8.896587267173288,6.372502501887084,3394.7904086380204,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.5826534129886621,0.08265341298866213
44,332,44,3,8.837,3.3543431334353127,19.761553513445232,23.917587267173275,14.747502501887084,3276.1384086380203,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.6185835183631728,0.11858351836317282
45,333,45,4,25.399,5.6867399445313485,96.29167190076782,9.45058726717329,342.3405025018871,3448.4554086380203,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.026864203051240723,0.4731357969487593
46,334,46,5,11.309,3.794610126404287,28.60883061300405,11.19458726717329,3.7015025018870915,3214.77340863802,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.7515118021391612,0.25151180213916124
47,335,47,7,27.562,5.923936894666465,108.85036579386473,103.15058726717328,517.7345025018872,3216.63540863802,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.16613474693930944,0.3338652530606906
49,337,49,12,15.944,4.505611090768647,47.89164215414354,25.19058726717327,10.892502501887094,3391.0584086380204,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.698127223261603,0.19812722326160304
50,338,50,14,3.584,2.1361859769998546,5.1040603610449855,226.98258726717327,306.8965025018871,373.1694086380203,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.42515729051190027,0.07484270948809973
51,339,51,15,3.955,2.2440281636885864,5.916754258258906,286.17958726717325,8.242502501887088,108.68540863802033,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.9720044698128718,0.4720044698128718
52,340,52,17,3.461,2.099209866670886,4.843576899031957,130.88958726717325,42.15750250188708,737.5374086380203,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.7563813262728181,0.25638132627281807
53,341,53,18,37.326,6.893833421746183,171.546150866732,43.87858726717329,1.9345025018870956,3525.73340863802,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.9577740224106528,0.4577740224106528
54,342,54,20,37.388,6.899556514628912,171.97374597929718,55.59458726717327,74.62750250188708,3496.8814086380203,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.4269213262186648,0.0730786737813352
55,343,55,21,2.905,1.923216284627303,3.72462887122821,151.4045872671733,48.799502501887076,234.78840863802034,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.756251220650995,0.25625122065099504
57,345,57,24,2.657,1.8392926548978896,3.258000389375795,90.64358726717327,200.05150250188706,1123.8994086380203,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.31181671262209526,0.18818328737790474
58,346,58,26,43.629,7.453198514547322,216.7837319941234,2.892587267173269,11.835502501887078,3539.0244086380203,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.19639935066459174,0.30360064933540826
60,348,60,29,5.253,2.586180064978812,9.056802587555795,74.02658726717328,2938.362502501887,1165.6594086380203,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.024574045736186226,0.4754259542638138
61,349,61,30,10.135,3.5922531628339995,24.271657203548383,29.500587267173273,9.23850250188707,3321.7564086380203,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.7615198870969456,0.2615198870969456
63,351,63,32,0.618,0.8870524441352555,0.3654656069837252,107.58558726717328,29.186502501887077,1069.0414086380204,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.7866048361828172,0.2866048361828172
64,352,64,33,15.326,4.417427901235187,45.13433334288699,75.25858726717328,107.84450250188706,3500.9014086380203,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.41101757136973244,0.08898242863026756
66,354,66,35,4.264,2.3300415058000006,6.623531320487468,9.969587267173267,6.340502501887073,2981.9214086380202,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.6112527526418168,0.11125275264181678
67,355,67,36,3.275,2.042023386009,4.45841772611965,120.91558726717327,15.322502501887072,1542.6434086380202,150.91441273282672,151.41349749811292,174.65859136197966,R2_5h_#2,2_5_2_0011.csv,1,0.8875314346534032,0.38753143465340323
